price_doc;id;timestamp;full_sq;life_sq;floor;max_floor;material;build_year;num_room;kitch_sq;state;product_type;sub_area
5850000;1;2011-08-20;43;27.0;4.0;;;;;;;Investment;Bibirevo
6000000;2;2011-08-23;34;19.0;3.0;;;;;;;Investment;Nagatinskij Zaton
5700000;3;2011-08-27;43;29.0;2.0;;;;;;;Investment;Tekstil'shhiki
13100000;4;2011-09-01;89;50.0;9.0;;;;;;;Investment;Mitino
16331452;5;2011-09-05;77;77.0;4.0;;;;;;;Investment;Basmannoe
9100000;6;2011-09-06;67;46.0;14.0;;;;;;;Investment;Nizhegorodskoe
5500000;7;2011-09-08;25;14.0;10.0;;;;;;;Investment;Sokol'niki
2000000;8;2011-09-09;44;44.0;5.0;;;;;;;Investment;Bibirevo
5300000;9;2011-09-10;42;27.0;5.0;;;;;;;Investment;Koptevo
2000000;10;2011-09-13;36;21.0;9.0;;;;;;;Investment;Kuncevo
4650000;11;2011-09-16;36;19.0;12.0;;;;;;;Investment;Kosino-Uhtomskoe
4800000;12;2011-09-16;38;19.0;11.0;;;;;;;Investment;Zapadnoe Degunino
5100000;13;2011-09-17;43;28.0;4.0;;;;;;;Investment;Kuncevo
5200000;14;2011-09-19;31;31.0;4.0;;;;;;;Investment;Presnenskoe
5000000;15;2011-09-19;31;21.0;3.0;;;;;;;Investment;Lefortovo
1850000;16;2011-09-20;51;31.0;15.0;;;;;;;Investment;Mar'ino
6300000;17;2011-09-20;47;31.0;4.0;;;;;;;Investment;Kuz'minki
5900000;18;2011-09-20;42;28.0;2.0;;;;;;;Investment;Nagornoe
7900000;19;2011-09-22;59;33.0;10.0;;;;;;;Investment;Kosino-Uhtomskoe
5200000;20;2011-09-22;44;29.0;4.0;;;;;;;Investment;Gol'janovo
8200000;21;2011-09-22;74;44.0;10.0;;;;;;;Investment;Vnukovo
5200000;22;2011-09-22;39;39.0;7.0;;;;;;;Investment;Juzhnoe Tushino
6250000;23;2011-09-23;48;34.0;6.0;;;;;;;Investment;Severnoe Tushino
5750000;24;2011-09-23;32;18.0;3.0;;;;;;;Investment;Chertanovo Central'noe
6000000;25;2011-09-23;34;19.0;11.0;;;;;;;Investment;Juzhnoe Tushino
1050000;26;2011-09-24;45;29.0;9.0;;;;;;;Investment;Fili Davydkovo
5000000;27;2011-09-26;35;20.0;4.0;;;;;;;Investment;Otradnoe
4700000;28;2011-09-26;38;20.0;6.0;;;;;;;Investment;Novo-Peredelkino
8254400;29;2011-09-26;73;38.0;15.0;;;;;;;OwnerOccupier;Bogorodskoe
5900000;30;2011-09-27;42;27.0;3.0;;;;;;;Investment;Jaroslavskoe
6200000;31;2011-09-27;40;20.0;12.0;;;;;;;Investment;Strogino
18300000;32;2011-09-27;81;46.0;24.0;;;;;;;Investment;Hovrino
4900000;33;2011-09-28;38;34.0;2.0;;;;;;;Investment;Bibirevo
4400000;34;2011-09-28;31;18.0;4.0;;;;;;;Investment;Moskvorech'e-Saburovo
3900000;35;2011-09-28;39;19.0;1.0;;;;;;;Investment;Staroe Krjukovo
4850000;36;2011-09-28;39;20.0;1.0;;;;;;;Investment;Mar'ino
5700000;37;2011-09-29;37;19.0;9.0;;;;;;;Investment;Ljublino
4300000;38;2011-09-30;27;27.0;4.0;;;;;;;Investment;Caricyno
4500000;39;2011-09-30;33;18.0;2.0;;;;;;;Investment;Veshnjaki
2000000;40;2011-09-30;33;18.0;9.0;;;;;;;Investment;Veshnjaki
6200000;41;2011-09-30;45;30.0;5.0;;;;;;;Investment;Danilovskoe
7500000;42;2011-09-30;54;30.0;10.0;;;;;;;Investment;Caricyno
5900000;43;2011-10-01;40;25.0;3.0;;;;;;;Investment;Preobrazhenskoe
9550000;44;2011-10-01;59;42.0;8.0;;;;;;;Investment;Kon'kovo
8600000;45;2011-10-01;77;45.0;10.0;;;;;;;Investment;Brateevo
2312800;46;2011-10-01;42;22.0;24.0;;;;;;;Investment;Mitino
6200000;47;2011-10-03;38;23.0;4.0;;;;;;;Investment;Vostochnoe Izmajlovo
4833000;48;2011-10-03;36;18.0;5.0;;;;;;;Investment;Novo-Peredelkino
5300000;49;2011-10-03;44;28.0;2.0;;;;;;;Investment;Jaroslavskoe
5150000;50;2011-10-03;37;19.0;11.0;;;;;;;Investment;Zapadnoe Degunino
1000000;51;2011-10-03;51;33.0;1.0;;;;;;;Investment;Caricyno
5098000;52;2011-10-03;37;19.0;6.0;;;;;;;Investment;Vyhino-Zhulebino
5500000;53;2011-10-03;46;29.0;9.0;;;;;;;Investment;Tekstil'shhiki
6000000;54;2011-10-03;38;37.0;11.0;;;;;;;Investment;Donskoe
4800000;55;2011-10-03;34;19.0;10.0;;;;;;;Investment;Ljublino
5500000;56;2011-10-04;43;25.0;1.0;;;;;;;Investment;Novogireevo
2000000;57;2011-10-04;56;39.0;4.0;;;;;;;Investment;Bogorodskoe
5000000;58;2011-10-04;35;35.0;6.0;;;;;;;Investment;Juzhnoe Butovo
9950000;59;2011-10-04;75;46.0;12.0;;;;;;;Investment;Sokol
990000;60;2011-10-04;64;44.0;14.0;;;;;;;Investment;Chertanovo Central'noe
14000000;61;2011-10-04;96;51.0;16.0;;;;;;;Investment;Kurkino
7200000;62;2011-10-04;52;34.0;4.0;;;;;;;Investment;Izmajlovo
8400000;63;2011-10-04;44;30.0;10.0;;;;;;;Investment;Preobrazhenskoe
2080000;64;2011-10-04;39;39.0;10.0;;;;;;;Investment;Novogireevo
5750000;65;2011-10-04;35;20.0;11.0;;;;;;;Investment;Donskoe
10011000;66;2011-10-05;63;60.0;12.0;;;;;;;Investment;Severnoe Medvedkovo
1000000;67;2011-10-05;50;29.0;9.0;;;;;;;Investment;Strogino
7100000;68;2011-10-05;51;50.0;16.0;;;;;;;Investment;Donskoe
2000000;69;2011-10-05;76;45.0;11.0;;;;;;;Investment;Rostokino
6600000;70;2011-10-05;45;30.0;6.0;;;;;;;Investment;Orehovo-Borisovo Severnoe
5300000;71;2011-10-05;32;19.0;9.0;;;;;;;Investment;Bibirevo
2630000;72;2011-10-05;64;28.0;10.0;;;;;;;Investment;Ochakovo-Matveevskoe
2600000;73;2011-10-06;66;17.0;2.0;;;;;;;Investment;Taganskoe
4550000;74;2011-10-06;38;19.0;8.0;;;;;;;Investment;Dmitrovskoe
7400000;75;2011-10-06;37;22.0;6.0;;;;;;;Investment;Donskoe
5300000;76;2011-10-07;46;28.0;3.0;;;;;;;Investment;Vyhino-Zhulebino
8900000;77;2011-10-07;74;46.0;17.0;;;;;;;Investment;Orehovo-Borisovo Juzhnoe
4950000;78;2011-10-07;30;17.0;7.0;;;;;;;Investment;Kuz'minki
7800000;79;2011-10-07;53;30.0;13.0;;;;;;;Investment;Teplyj Stan
17600000;80;2011-10-07;133;64.0;2.0;;;;;;;Investment;Izmajlovo
1000000;81;2011-10-07;47;31.0;1.0;;;;;;;Investment;Gol'janovo
990000;82;2011-10-07;50;30.0;9.0;;;;;;;Investment;Juzhnoe Butovo
1000000;83;2011-10-07;34;19.0;8.0;;;;;;;Investment;Hovrino
990000;84;2011-10-07;66;42.0;7.0;;;;;;;Investment;Basmannoe
9000000;85;2011-10-07;63;33.0;2.0;;;;;;;Investment;Juzhnoe Butovo
6700000;86;2011-10-07;43;21.0;7.0;;;;;;;Investment;Babushkinskoe
990000;87;2011-10-08;45;44.0;5.0;;;;;;;Investment;Bogorodskoe
4000000;88;2011-10-08;34;20.0;7.0;;;;;;;Investment;Staroe Krjukovo
4450000;89;2011-10-08;43;28.0;9.0;;;;;;;Investment;Pokrovskoe Streshnevo
12500000;90;2011-10-10;76;74.0;7.0;;;;;;;Investment;Kon'kovo
3775000;91;2011-10-10;32;19.0;8.0;;;;;;;Investment;Obruchevskoe
9500000;92;2011-10-11;50;30.0;5.0;;;;;;;Investment;Filevskij Park
990000;93;2011-10-11;32;18.0;8.0;;;;;;;Investment;Troparevo-Nikulino
7000000;94;2011-10-11;72;45.0;1.0;;;;;;;Investment;Severnoe Butovo
6504000;95;2011-10-11;45;30.0;3.0;;;;;;;Investment;Otradnoe
12900000;96;2011-10-11;54;37.0;4.0;;;;;;;Investment;Hamovniki
500000;97;2011-10-12;30;18.0;1.0;;;;;;;Investment;Juzhnoe Tushino
9500000;98;2011-10-12;39;18.0;8.0;;;;;;;Investment;Moskvorech'e-Saburovo
7100000;99;2011-10-12;51;30.0;15.0;;;;;;;Investment;Solncevo
990000;100;2011-10-12;74;45.0;7.0;;;;;;;Investment;Orehovo-Borisovo Severnoe
5350000;101;2011-10-12;41;25.0;5.0;;;;;;;Investment;Tekstil'shhiki
8600000;102;2011-10-12;37;16.0;9.0;;;;;;;Investment;Dorogomilovo
5950000;103;2011-10-12;44;28.0;4.0;;;;;;;Investment;Bibirevo
2900000;104;2011-10-13;38;34.0;3.0;;;;;;;Investment;Severnoe Medvedkovo
4146000;105;2011-10-13;26;1.0;6.0;;;;;;;Investment;Timirjazevskoe
5200000;106;2011-10-13;34;19.0;9.0;;;;;;;Investment;Bogorodskoe
6300000;107;2011-10-13;52;30.0;1.0;;;;;;;Investment;Lianozovo
1000000;108;2011-10-13;74;43.0;14.0;;;;;;;Investment;Zapadnoe Degunino
7200000;109;2011-10-13;46;27.0;14.0;;;;;;;Investment;Izmajlovo
13800000;110;2011-10-13;77;40.0;15.0;;;;;;;Investment;Hovrino
6200000;111;2011-10-13;44;20.0;8.0;;;;;;;Investment;Pechatniki
6800000;112;2011-10-13;54;31.0;1.0;;;;;;;Investment;Bogorodskoe
7200000;113;2011-10-13;74;72.0;8.0;;;;;;;Investment;Krjukovo
6350000;114;2011-10-13;46;28.0;4.0;;;;;;;Investment;Lefortovo
4750000;115;2011-10-13;32;19.0;8.0;;;;;;;Investment;Gol'janovo
6100000;116;2011-10-14;50;30.0;8.0;;;;;;;Investment;Dmitrovskoe
8100000;117;2011-10-14;58;43.0;4.0;;;;;;;Investment;Jasenevo
6800000;118;2011-10-14;54;32.0;15.0;;;;;;;Investment;Novo-Peredelkino
4650000;119;2011-10-14;32;17.0;3.0;;;;;;;Investment;Chertanovo Severnoe
5759000;120;2011-10-14;78;47.0;6.0;;;;;;;Investment;Rjazanskij
990000;121;2011-10-14;51;31.0;12.0;;;;;;;Investment;Vyhino-Zhulebino
2000000;122;2011-10-14;36;34.0;2.0;;;;;;;Investment;Lianozovo
6100000;123;2011-10-14;57;33.0;2.0;;;;;;;Investment;Silino
1200000;124;2011-10-14;39;20.0;8.0;;;;;;;Investment;Ochakovo-Matveevskoe
11000000;125;2011-10-14;61;42.0;1.0;;;;;;;Investment;Hamovniki
7950000;126;2011-10-14;52;30.0;5.0;;;;;;;Investment;Bogorodskoe
8000000;127;2011-10-14;48;31.0;5.0;;;;;;;Investment;Donskoe
4950000;128;2011-10-15;39;21.0;6.0;;;;;;;Investment;Orehovo-Borisovo Severnoe
5000000;129;2011-10-15;325;325.0;7.0;;;;;;;Investment;Ivanovskoe
8300000;130;2011-10-15;51;31.0;15.0;;;;;;;Investment;Lefortovo
4800000;131;2011-10-15;33;32.0;5.0;;;;;;;Investment;Golovinskoe
4850000;132;2011-10-15;40;20.0;3.0;;;;;;;Investment;Ivanovskoe
2000000;133;2011-10-15;47;29.0;3.0;;;;;;;Investment;Otradnoe
5900000;134;2011-10-15;37;19.0;1.0;;;;;;;Investment;Obruchevskoe
6000000;135;2011-10-15;44;27.0;4.0;;;;;;;Investment;Kon'kovo
4700000;136;2011-10-17;32;20.0;2.0;;;;;;;Investment;Lefortovo
6100000;137;2011-10-17;53;32.0;1.0;;;;;;;Investment;Novokosino
7450000;138;2011-10-17;55;35.0;3.0;;;;;;;Investment;Bogorodskoe
5000000;139;2011-10-17;51;28.0;3.0;;;;;;;Investment;Taganskoe
4750000;140;2011-10-17;32;19.0;7.0;;;;;;;Investment;Nagatino-Sadovniki
3500000;141;2011-10-17;22;14.0;9.0;;;;;;;Investment;Dmitrovskoe
2000000;142;2011-10-18;36;17.0;10.0;;;;;;;Investment;Orehovo-Borisovo Severnoe
6000000;143;2011-10-18;44;27.0;1.0;;;;;;;Investment;Severnoe Medvedkovo
1000000;144;2011-10-18;62;34.0;7.0;;;;;;;Investment;Izmajlovo
1500000;145;2011-10-18;43;27.0;7.0;;;;;;;Investment;Birjulevo Vostochnoe
8150000;146;2011-10-18;51;30.0;3.0;;;;;;;Investment;Severnoe Izmajlovo
4600000;147;2011-10-18;102;64.0;11.0;;;;;;;Investment;Sokolinaja Gora
14103600;148;2011-10-18;117;108.0;20.0;;;;;;;OwnerOccupier;Nagatino-Sadovniki
5600000;149;2011-10-18;31;20.0;1.0;;;;;;;Investment;Nagatinskij Zaton
6200000;150;2011-10-18;59;42.0;9.0;;;;;;;Investment;Vostochnoe Degunino
4450000;151;2011-10-19;30;18.0;3.0;;;;;;;Investment;Ljublino
7050000;152;2011-10-19;54;32.0;13.0;;;;;;;Investment;Novo-Peredelkino
1000000;153;2011-10-19;46;22.0;11.0;;;;;;;Investment;Chertanovo Central'noe
6800000;154;2011-10-19;39;22.0;18.0;;;;;;;Investment;Prospekt Vernadskogo
1000000;155;2011-10-19;38;18.0;2.0;;;;;;;Investment;Savelki
6450000;156;2011-10-19;59;38.0;2.0;;;;;;;Investment;Dmitrovskoe
6900000;157;2011-10-20;44;29.0;4.0;;;;;;;Investment;Ajeroport
7000000;158;2011-10-20;54;35.0;5.0;;;;;;;Investment;Vojkovskoe
7500000;159;2011-10-20;60;42.0;2.0;;;;;;;Investment;Ochakovo-Matveevskoe
5200000;160;2011-10-20;34;19.0;3.0;;;;;;;Investment;Solncevo
10800000;161;2011-10-20;86;50.0;18.0;;;;;;;Investment;Mar'ino
5250000;162;2011-10-20;36;19.0;8.0;;;;;;;Investment;Beskudnikovskoe
9850000;163;2011-10-20;74;45.0;11.0;;;;;;;Investment;Juzhnoe Butovo
5700000;164;2011-10-20;39;21.0;6.0;;;;;;;Investment;Severnoe Butovo
1000000;165;2011-10-20;85;54.0;9.0;;;;;;;Investment;Savelki
2000000;166;2011-10-20;36;19.0;11.0;;;;;;;Investment;Moskvorech'e-Saburovo
5550000;167;2011-10-20;44;28.0;7.0;;;;;;;Investment;Vostochnoe Degunino
3000000;168;2011-10-20;38;20.0;12.0;;;;;;;Investment;Juzhnoe Butovo
6500000;169;2011-10-20;47;31.0;3.0;;;;;;;Investment;Ochakovo-Matveevskoe
6400000;170;2011-10-20;42;26.0;4.0;;;;;;;Investment;Nagatinskij Zaton
37000000;171;2011-10-21;115;60.0;7.0;;;;;;;Investment;Krylatskoe
4450000;172;2011-10-21;32;18.0;1.0;;;;;;;Investment;Pechatniki
5000000;173;2011-10-21;30;18.0;8.0;;;;;;;Investment;Juzhnoportovoe
6000000;174;2011-10-21;37;22.0;4.0;;;;;;;Investment;Bogorodskoe
5600000;175;2011-10-21;44;30.0;3.0;;;;;;;Investment;Kuz'minki
4300000;176;2011-10-21;35;22.0;5.0;;;;;;;Investment;Birjulevo Vostochnoe
4400000;177;2011-10-21;30;18.0;3.0;;;;;;;Investment;Danilovskoe
11900000;178;2011-10-22;78;74.0;3.0;;;;;;;Investment;Hovrino
11500000;179;2011-10-22;98;94.0;;;;;;;;Investment;Kurkino
5050000;180;2011-10-22;32;21.0;7.0;;;;;;;Investment;Perovo
2000000;181;2011-10-22;80;48.0;11.0;;;;;;;Investment;Mar'ino
10239000;182;2011-10-22;68;47.0;2.0;;;;;;;Investment;Akademicheskoe
4950000;183;2011-10-22;38;20.0;2.0;;;;;;;Investment;Orehovo-Borisovo Severnoe
5300000;184;2011-10-22;38;19.0;7.0;;;;;;;Investment;Brateevo
1000000;185;2011-10-24;43;27.0;6.0;;;;;;;Investment;Horoshevo-Mnevniki
18000000;186;2011-10-24;98;55.0;12.0;;;;;;;Investment;Otradnoe
1200000;187;2011-10-24;31;20.0;2.0;;;;;;;Investment;Kuz'minki
8300000;188;2011-10-24;49;29.0;;;;;;;;Investment;Nagatinskij Zaton
5500000;189;2011-10-24;38;19.0;15.0;;;;;;;Investment;Ivanovskoe
6150000;190;2011-10-24;37;19.0;10.0;;;;;;;Investment;Ochakovo-Matveevskoe
4210429;191;2011-10-24;104;64.0;7.0;;;;;;;Investment;Shhukino
5500000;192;2011-10-24;45;28.0;5.0;;;;;;;Investment;Gol'janovo
1000000;193;2011-10-25;33;19.0;9.0;;;;;;;Investment;Hovrino
5000000;194;2011-10-25;39;39.0;10.0;;;;;;;Investment;Vostochnoe Izmajlovo
1000000;195;2011-10-25;53;52.0;7.0;;;;;;;Investment;Mitino
2000000;196;2011-10-25;37;23.0;;;;;;;;Investment;Nagatinskij Zaton
6500000;197;2011-10-25;36;20.0;5.0;;;;;;;Investment;Basmannoe
7200000;198;2011-10-25;54;38.0;3.0;;;;;;;Investment;Juzhnoe Tushino
6700000;199;2011-10-25;54;35.0;2.0;;;;;;;Investment;Kapotnja
18100000;200;2011-10-25;102;64.0;8.0;;;;;;;Investment;Fili Davydkovo
7150000;201;2011-10-25;38;19.0;15.0;;;;;;;Investment;Horoshevskoe
5700000;202;2011-10-25;33;14.0;8.0;;;;;;;Investment;Juzhnoe Butovo
4050000;203;2011-10-25;30;18.0;3.0;;;;;;;Investment;Marfino
10600000;204;2011-10-25;76;51.0;2.0;;;;;;;Investment;Juzhnoportovoe
5500000;205;2011-10-26;44;29.0;8.0;;;;;;;Investment;Vostochnoe Izmajlovo
5750000;206;2011-10-26;35;21.0;5.0;;;;;;;Investment;Lefortovo
13500000;207;2011-10-26;72;45.0;10.0;;;;;;;Investment;Krylatskoe
4850000;208;2011-10-26;32;18.0;6.0;;;;;;;Investment;Chertanovo Juzhnoe
7700000;209;2011-10-26;84;43.0;21.0;;;;;;;Investment;Silino
2000000;210;2011-10-26;45;26.0;5.0;;;;;;;Investment;Chertanovo Juzhnoe
1000000;211;2011-10-26;42;19.0;8.0;;;;;;;Investment;Obruchevskoe
6197000;212;2011-10-26;38;20.0;5.0;;;;;;;Investment;Juzhnoe Tushino
6200000;213;2011-10-26;37;23.0;7.0;;;;;;;Investment;Savelovskoe
8590000;214;2011-10-26;54;32.0;15.0;;;;;;;Investment;Jasenevo
3600000;215;2011-10-26;43;28.0;2.0;;;;;;;Investment;Juzhnoe Tushino
2825000;216;2011-10-26;45;27.0;;;;;;;;Investment;Chertanovo Juzhnoe
360000;217;2011-10-27;60;32.0;16.0;;;;;;;Investment;Obruchevskoe
9200000;218;2011-10-27;50;28.0;14.0;;;;;;;Investment;Fili Davydkovo
3670000;219;2011-10-27;17;13.0;4.0;;;;;;;Investment;Severnoe Izmajlovo
990000;220;2011-10-27;58;31.0;5.0;;;;;;;Investment;Filevskij Park
9200000;221;2011-10-27;58;38.0;8.0;;;;;;;Investment;Danilovskoe
6120000;222;2011-10-27;38;19.0;5.0;;;;;;;Investment;Severnoe Medvedkovo
11640000;223;2011-10-28;93;54.0;5.0;;;;;;;Investment;Kurkino
1000000;224;2011-10-28;45;32.0;4.0;;;;;;;Investment;Birjulevo Zapadnoe
5700000;225;2011-10-28;32;17.0;3.0;;;;;;;Investment;Danilovskoe
6800000;226;2011-10-28;57;43.0;1.0;;;;;;;Investment;Severnoe Tushino
7500000;227;2011-10-28;37;19.0;16.0;;;;;;;Investment;Taganskoe
1030000;228;2011-10-28;39;17.0;13.0;;;;;;;Investment;Nekrasovka
1100000;229;2011-10-28;42;19.0;9.0;;;;;;;Investment;Juzhnoe Butovo
4700000;230;2011-10-28;41;27.0;7.0;;;;;;;Investment;Ljublino
5000000;231;2011-10-28;34;19.0;4.0;;;;;;;Investment;Nagatinskij Zaton
6090000;232;2011-10-28;44;27.0;9.0;;;;;;;Investment;Chertanovo Central'noe
5360000;233;2011-10-28;41;21.0;9.0;;;;;;;Investment;Vyhino-Zhulebino
1000000;234;2011-10-28;52;30.0;9.0;;;;;;;Investment;Orehovo-Borisovo Severnoe
7500000;235;2011-10-29;38;23.0;4.0;;;;;;;Investment;Presnenskoe
1000000;236;2011-10-29;38;19.0;16.0;;;;;;;Investment;Taganskoe
9000000;237;2011-10-29;52;30.0;9.0;;;;;;;Investment;Perovo
2000000;238;2011-10-29;48;10.0;9.0;;;;;;;Investment;Mar'ino
6350000;239;2011-10-29;44;28.0;3.0;;;;;;;Investment;Jasenevo
5400000;240;2011-10-29;30;17.0;6.0;;;;;;;Investment;Vojkovskoe
6000000;241;2011-10-29;60;33.0;11.0;;;;;;;Investment;Krjukovo
6400000;242;2011-10-29;50;34.0;6.0;;;;;;;Investment;Veshnjaki
5500000;243;2011-10-29;43;19.0;10.0;;;;;;;Investment;Birjulevo Vostochnoe
7000000;244;2011-10-29;54;32.0;3.0;;;;;;;Investment;Novo-Peredelkino
3100000;245;2011-10-29;39;21.0;3.0;;;;;;;Investment;Ivanovskoe
5000000;246;2011-10-29;76;45.0;4.0;;;;;;;Investment;Krylatskoe
6170000;247;2011-10-31;45;29.0;2.0;;;;;;;Investment;Orehovo-Borisovo Severnoe
5500000;248;2011-10-31;38;21.0;2.0;;;;;;;Investment;Rjazanskij
7400000;249;2011-10-31;60;34.0;3.0;;;;;;;Investment;Lefortovo
